R,G,B
104.58203125,131.90234375,111.7578125
100.4453125,108.1875,90.7890625
190.921875,171.703125,121.234375
73.2109375,104.5390625,85.296875
82.80078125,111.33203125,82.5234375
102.06640625,100.703125,86.15234375
105.77734375,137.06640625,120.2265625
101.98828125,102.06640625,87.203125
100.59375,98.4140625,84.15625
167.7734375,166.5078125,121.2421875
